compiler	symptom	workaround	url	commit		
gcc	wrong-code	refactoring	 https://github.com/TwistedPrime/Twisted-OP7/commit/846737e63cfe7ee81788c4ca9babe0d3bf687677	gcc-plugins: latent_entropy: use /dev/urandomcommit c40160f2998c897231f8454bf797558d30a20375 upstream.While the latent entropy plugin mostly doesn't derive entropy fromget_random_const() for measuring the call graph, when __latent_entropy isapplied to a constant, then it's initialized statically to output fromget_random_const(). In that case, this data is derived from a 64-bitseed, which means a buffer of 512 bits doesn't really have that amountof compile-time entropy.This patch fixes that shortcoming by just buffering chunks of/dev/urandom output and doling it out as requested.At the same time, it's important that we don't break the use of-frandom-seed, for people who want the runtime benefits of the latententropy plugin, while still having compile-time determinism. In thatcase, we detect whether gcc's set_random_seed() has been called bymaking a call to get_random_seed(noinit=true) in the plugin initfunction, which is called after set_random_seed() is called but beforeanything that calls get_random_seed(noinit=false), and seeing if it'szero or not. If it's not zero, we're in deterministic mode, and so wejust generate numbers with a basic xorshift prng.Note that we don't detect if -frandom-seed is being used using thedocumented local_tick variable, because it's assigned via:   local_tick = (unsigned) tv.tv_sec * 1000 + tv.tv_usec / 1000;which may well overflow and become -1 on its own, and so isn'treliable: https://gcc.gnu.org/bugzilla/show_bug.cgi?id=105171[kees: The 256 byte rnd_buf size was chosen based on average (250), median (64), and std deviation (575) bytes of used entropy for a defconfig x86_64 build]Fixes: 38addce8b600 ("gcc-plugins: Add latent_entropy plugin")Cc: stable@vger.kernel.orgCc: PaX Team <pageexec@freemail.hu>Signed-off-by: Jason A. Donenfeld <Jason@zx2c4.com>Signed-off-by: Kees Cook <keescook@chromium.org>Link: https://lore.kernel.org/r/20220405222815.21155-1-Jason@zx2c4.comSigned-off-by: Greg Kroah-Hartman <gregkh@linuxfoundation.org>		
gcc	diagnostic	others	 https://github.com/guoren83/linux-allwinner-d1/commit/2ba50da9ec34196a895b4947dc6bb1dbf1ace670	kconfig: nconf: get rid of (void) casts from wattrset() callsThis reverts commit 10175ba65fde ("nconfig: Silence unused return valuesfrom wattrset").With this patch applied, recent GCC versions can cleanly build nconfwithout "value computed is not used" warnings.The wattrset() used to be implemented as a macro, like this:  #define wattrset(win,at) \          (NCURSES_OK_ADDR(win) \            ? ((win)->_attrs = NCURSES_CAST(attr_t, at), \               OK) \            : ERR)The GCC bugzilla [1] reported a false-positive -Wunused-value warningin a similar test case. It was fixed by GCC 4.4.1.Let's revert that commit, and see if somebody will claim the issue.[1]: https://gcc.gnu.org/bugzilla/show_bug.cgi?id=39889Signed-off-by: Masahiro Yamada <masahiroy@kernel.org>		
gcc	wrong-code	disabling optimizations	 https://github.com/Kaz205/renoir/commit/961753b6eb9d58e3bd1f0806afd203c90527b9ae	lib/string.c: Use freestanding environmentgcc can transform the loop in a naive implementation of memset/memcpyetc into a call to the function itself.  This optimization is enabled by-ftree-loop-distribute-patterns.This has been the case for a while, but gcc-10.x enables this option at-O2 rather than -O3 as in previous versions.Add -ffreestanding, which implicitly disables this optimization withgcc.  It is unclear whether clang performs such optimizations, buthopefully it will also not do so in a freestanding environment.Signed-off-by: Arvind Sankar <nivedita@alum.mit.edu>Link: https://gcc.gnu.org/bugzilla/show_bug.cgi?id=56888Signed-off-by: Linus Torvalds <torvalds@linux-foundation.org>		
gcc	wrong-code	refactoring	 https://github.com/OP-TEE/optee_os/commit/30e743f6b08776e41843a81d8f628c334f24e73f	lib: libutils: Use ret for longjmp with Clang and BTIlongjmp uses br instead of ret to jump to the target. Thus the targetlocation should have the right BTI launchpad to handle this.clang has a bug [1] and doesn't add the BTI after setjmp causingexception when BTI is enabled. This works well with gcc [2]and can be tested when compiling xtests with WITH_CXX_TESTS=n.To avoid the exception, use ret instead of br with clang and BTI.[1] - https://bugs.llvm.org/show_bug.cgi?id=49544[2] - https://gcc.gnu.org/legacy-ml/gcc-patches/2018-11/msg02472.htmlSigned-off-by: Ruchika Gupta <ruchika.gupta@linaro.org>Reviewed-by: Jerome Forissier <jerome@forissier.org>		
gcc	link-failure	others	 https://github.com/libjxl/libjxl/commit/87fe7c16e1fb2e21b6a1dca26782950ae1559d99	libjxl implementation rely on c11 atomics (cache_aligned.cc) (#1128)* Initialize c++ requirements before calling check_cxx_source_compiles* libjxl implementation rely on c11 atomics (cache_aligned.cc)It turns out that GCC requires explicitly linking to a library `atomic`in order to support c11/atomics. gcc spec file will not handle itdirectly at least not on the following Debian archs: armel, mipsel,powerpc and riscv64.Introduce a new cmake module to detect usage of gcc/atomic and addmissing library to the link step.For reference:* https://gcc.gnu.org/bugzilla/show_bug.cgi?id=104248		
gcc	link-failure	disabling optimizations	 https://github.com/Dark-Matter7232/Cosmic-fresh/commit/4ee1f68d99593e906913c4e50316600d2e2c4086	lto, workaround: Disable LTO for BPFDisable LTO for the BPF interpreter. This works around a gcc bug in the LTOpartitioner that partitions the jumptable used the BPF interpreterinto a different LTO unit. This in term causes assemblererrors because the jump table contains references to thecode labels in the original file.gcc problem tracked in https://gcc.gnu.org/bugzilla/show_bug.cgi?id=50676Signed-off-by: Andi Kleen <ak@linux.intel.com>		
gcc	optimization	modifying non-triggered programs	 https://github.com/turex/siberia_hi6250_kernel/commit/c08097124192cce912d24064358c60a6f6214938	media: r820t: fix r820t_write_reg for KASANcommit 16c3ada89cff9a8c2a0eea34ffa1aa20af3f6008 upstream.With CONFIG_KASAN, we get an overly long stack frame due to inliningthe register access functions:drivers/media/tuners/r820t.c: In function 'generic_set_freq.isra.7':drivers/media/tuners/r820t.c:1334:1: error: the frame size of 2880 bytes is larger than 2048 bytes [-Werror=frame-larger-than=]This is caused by a gcc bug that has now been fixed in gcc-8.To work around the problem, we can pass the register datathrough a local variable that older gcc versions can optimizeout as well.Link: https://gcc.gnu.org/bugzilla/show_bug.cgi?id=81715Signed-off-by: Arnd Bergmann <arnd@arndb.de>Signed-off-by: Mauro Carvalho Chehab <mchehab@s-opensource.com>Signed-off-by: Greg Kroah-Hartman <gregkh@linuxfoundation.org>		
gcc	rejects-valid	disabling optimizations	 https://github.com/TripleTrable/buildroot/commit/4e070082495c1686b2b207db7fe7720271dc7d86	package/ruby: fix build failure due to gcc bug 83143The ruby package exhibits gcc bug 83143 when built for the SH4 architecturewith optimization enabled, which causes a build failure.Differentely from other packages in Buildroot where we work around thisgcc bug by setting optimization to -O0 we can use -freorder-blocks-algorithm=simpleas suggested here [1] if BR2_TOOLCHAIN_HAS_GCC_BUG_83143=y.Fixes:http://autobuild.buildroot.net/results/f57/f5742e7fb6e8142bcdb53b7f4f5e9c1bea3558cd/[1]: https://gcc.gnu.org/bugzilla/show_bug.cgi?id=83143#c15Signed-off-by: Giulio Benetti <giulio.benetti@benettiengineering.com>Signed-off-by: Arnout Vandecappelle (Essensium/Mind) <arnout@mind.be>		
gcc	optimization	disabling optimizations	 https://github.com/gregkh/linux/commit/5c34aea341b16e29fde6e6c8d4b18866cd99754d	perf test: Fix DWARF unwind for optimized builds.To ensure the stack frames are on the stack tail calls optimizationsneed to be inhibited. If your compiler supports an attribute use it,otherwise use an asm volatile barrier.The barrier fix was suggested here:https://lore.kernel.org/lkml/20201028081123.GT2628@hirez.programming.kicks-ass.net/Tested with an optimized clang build and by forcing the asm barrierroute with an optimized clang build.A GCC bug tracking a proper disable_tail_calls is:https://gcc.gnu.org/bugzilla/show_bug.cgi?id=97831Fixes: 9ae1e990f1ab ("perf tools: Remove broken __no_tail_call       attribute")v2. is a rebase. The original fix patch generated quite a lot of    discussion over the right place for the fix:    https://lore.kernel.org/lkml/20201114000803.909530-1-irogers@google.com/    The patch reflects my preference of it being near the use, so that    future code cleanups don't break this somewhat special usage.Signed-off-by: Ian Rogers <irogers@google.com>Acked-by: Jiri Olsa <jolsa@redhat.com>Cc: Alexander Shishkin <alexander.shishkin@linux.intel.com>Cc: Ard Biesheuvel <ardb@kernel.org>Cc: Mark Rutland <mark.rutland@arm.com>Cc: Miguel Ojeda <ojeda@kernel.org>Cc: Namhyung Kim <namhyung@kernel.org>Cc: Peter Zijlstra <peterz@infradead.org>Cc: Stephane Eranian <eranian@google.com>Cc: clang-built-linux@googlegroups.comLink: http://lore.kernel.org/lkml/20210922173812.456348-1-irogers@google.comSigned-off-by: Arnaldo Carvalho de Melo <acme@redhat.com>		
gcc	environment	others	 https://github.com/percona/percona-server/commit/b3a9f571d3c0353560b9d16a4c805985a1d090c7	PS-7720: Fix CRC32 function selection in MyRocksSuppress the```\#error "AES/PCLMUL instructions not enabled"```bug in gcc-4.8.x or lower at https://gcc.gnu.org/bugzilla/show_bug.cgi?id=56298		
gcc	optimization	modifying non-triggered programs	 https://github.com/LimpingNinja/ngenmud/commit/75b6d43a1e50b986d7fda8831be6efa7c23783e9	Quick patch for GCC 10+GCC 10+ defaults to -fno-common which causes the build to fail miserably on duplicate PyX_Y definitions. Temporarily patched by passing -fcommon to the build, need to clean up the duplicates. https://gcc.gnu.org/bugzilla/show_bug.cgi?id=85678		
gcc	crash	others	 https://github.com/pd95/m68k-atari-mint-cross-tools/commit/b25b325b9888d84efa566f47855efcc7d9b8b482	Re-added previously macos specific patch- "gcc-4.6.4/gcc/combine" needs patching to avoid compiler crashposix/regex.c internal compiler error: in "fixup reorder chain"see also https://gcc.gnu.org/bugzilla/show_bug.cgi?id=52714		
gcc	rejects-valid	disabling components	 https://github.com/Zealandia-Systems/eigen/commit/8f8c2ba2fe19c6c2e47bbe2fbaf87594642e523d	Remove bad "take" impl that causes g++-11 crash.For some reason, having `take<n, numeric_list<T>>` for `n > 0` causesg++-11 to ICE with```sorry, unimplemented: unexpected AST of kind nontype_argument_pack```It does work with other versions of gcc, and with clang.I filed a GCC bug[here](https://gcc.gnu.org/bugzilla/show_bug.cgi?id=102999).Technically we should never actually run into this case, since youcan't take n > 0 elements from an empty list.  Commenting it outallows our Eigen tests to pass.		
gcc	wrong-code	restricting compiler versions	 https://github.com/MIPS/glibc/commit/844b4d8b4b937fe6943d2c0c80ce7d871cdb1eb5	s390x: Require GCC 7.1 or later to build glibc.GCC 6.5 fails to correctly build ldconfig with recent ld.so.cachecommits, e.g.:785969a047ad2f23f758901c6816422573544453elf: Implement a string table for ldconfig, with tail mergingIf glibc is build with gcc 6.5.0:__builtin_add_overflow is used in<glibc>/elf/stringtable.c:stringtable_finalize()which leads to ldconfig failing with "String table is too large".This is also recognizable in following tests:FAIL: elf/tst-glibc-hwcaps-cacheFAIL: elf/tst-glibc-hwcaps-prepend-cacheFAIL: elf/tst-ldconfig-XFAIL: elf/tst-ldconfig-bad-aux-cacheFAIL: elf/tst-ldconfig-ld_so_conf-updateFAIL: elf/tst-stringtableSee gcc "Bug 98269 - gcc 6.5.0 __builtin_add_overflow() with smalluint32_t values incorrectly detects overflow"(https://gcc.gnu.org/bugzilla/show_bug.cgi?id=98269)		
gcc	wrong-code	modifying non-triggered programs	 https://github.com/sisyphus/math-mpfr/commit/c5585cc128ad687eac5c369b1a5eb411cc938484	t/nvtoa2.t - improve detection of buggy assignment of subnormals.See https://gcc.gnu.org/bugzilla/show_bug.cgi?id=94756		
gcc	rejects-valid	disabling components	 https://github.com/wasmx/fizzy/commit/b0e84d2b72f58f63b10a05b165c871699668ef72	test: Disable pointer-subtract sanitizer in constexprThe "pointer-subtract" sanitizer is disabled because GCC fails to compileconstexpr function with pointer subtraction.The bug https://gcc.gnu.org/bugzilla/show_bug.cgi?id=97145is to be fixed in GCC 10.3.		
gcc	optimization	switching libraries	 https://github.com/wongsyrone/lede-1/commit/6e2556963d523ecef9a2a6130c899d146a3b7333	toolchain/gcc: use ELFv2 ABI on ppc64 with muslAt configuration time, gcc assumes that ppc64be targets use the ELFv1ABI, and ppc64le targets use the ELFv2 ABI. However, musl libc does notsupport the ELFv1 ABI on ppc64 at all, regardless of the endianness.Therefore, when building for a ppc64 arch and with musl libc, instructgcc to use the ELFv2 ABI.See https://gcc.gnu.org/bugzilla/show_bug.cgi?id=93157 for more info.Signed-off-by: Stijn Tintel <stijn@linux-ipv6.be>Reviewed-by: Rui Salvaterra <rsalvaterra@gmail.com>		
gcc	crash	others	 https://github.com/dirker/rpi-intercom-buildroot/commit/4b22106fb5e199aa26f148b0b159aecb7da7f7e0	toolchain: introduce BR2_TOOLCHAIN_HAS_GCC_BUG_101737pixman package fails to build for the SH4 architecture with optimizationenabled with gcc up to 11.1.0:http://autobuild.buildroot.net/results/b20/b20869bbb48edb1f0a847ea9e2e1a0462d6350be/It's been reported upstream:https://gcc.gnu.org/bugzilla/show_bug.cgi?id=101737Signed-off-by: Giulio Benetti <giulio.benetti@benettiengineering.com>Signed-off-by: Arnout Vandecappelle (Essensium/Mind) <arnout@mind.be>		
gcc	environment	refactoring	 https://github.com/dgist-datalab/cxl-kernel/commit/f23653fe64479d96910bfda2b700b1af17c991ac	tty: Partially revert the removal of the Cyclades public APIFix a user API regression introduced with commit f76edd8f7ce0 ("tty:cyclades, remove this orphan"), which removed a part of the API andcaused compilation errors for user programs using said part, such asGCC 9 in its libsanitizer component[1]:.../libsanitizer/sanitizer_common/sanitizer_platform_limits_posix.cc:160:10: fatal error: linux/cyclades.h: No such file or directory  160 | #include <linux/cyclades.h>      |          ^~~~~~~~~~~~~~~~~~compilation terminated.make[4]: *** [Makefile:664: sanitizer_platform_limits_posix.lo] Error 1As the absolute minimum required bring `struct cyclades_monitor' andioctl numbers back then so as to make the library build again.  Add apreprocessor warning as to the obsolescence of the features provided.References:[1] GCC PR sanitizer/100379, "cyclades.h is removed from linux kernel    header files", <https://gcc.gnu.org/bugzilla/show_bug.cgi?id=100379>Fixes: f76edd8f7ce0 ("tty: cyclades, remove this orphan")Cc: stable@vger.kernel.org # v5.13+Reviewed-by: Christoph Hellwig <hch@lst.de>Signed-off-by: Maciej W. Rozycki <macro@embecosm.com>Link: https://lore.kernel.org/r/alpine.DEB.2.20.2201260733430.11348@tpp.orcam.me.ukSigned-off-by: Greg Kroah-Hartman <gregkh@linuxfoundation.org>		
gcc	rejects-valid	refactoring	 https://github.com/bmwiedemann/openSUSE/commit/1b188382c07cdcd9c3c59f7ab7ff906e71e18701	Update libqt5-qtbase to version 5.15.2+kde294 / rev 129 via SR 969356https://build.opensuse.org/request/show/969356by user Vogtinator + dimstar_suse- Add mitigate-FORTIFY_SOURCE-3.patch that should mitigate  new -D_FORTIFY_SOURCE=3 level as analyzed in GCC bug:  https://gcc.gnu.org/bugzilla/show_bug.cgi?id=105078. (forwarded request 969342 from marxin)		
gcc	optimization	switching libraries	 https://github.com/wesnoth/wesnoth/commit/6b52e1f76a8aa00976d22b7a05e33d4f26a8101b	Replace std::regex by boost to temporary workaround for Mingw-w64's bugSee https://gcc.gnu.org/bugzilla/show_bug.cgi?id=98723		
gcc	optimization	refactoring	 https://github.com/Tomoms/android_kernel_sony_msm8960t/commit/f74d38ffaa43a0981de7aa1b2d3e0142b4d0f025	[PATCH] ARM: fix put_user() for gcc-8Building kernels before linux-4.7 with gcc-8 results in many build failureswhen gcc triggers a check that was meant to catch broken compilers:/tmp/ccCGMQmS.s:648: Error: .err encounteredAccording to the discussion in the gcc bugzilla, a local "registerasm()" variable is still supposed to be the correct way to force aninline assembly to use a particular register, but marking it 'const'lets the compiler do optimizations that break that, i.e the compiler isfree to treat the variable as either 'const' or 'register' in that case.Upstream commit 9f73bd8bb445 ("ARM: uaccess: remove put_user() codeduplication") fixed this problem in linux-4.8 as part of a larger change,but seems a little too big to be backported to 4.4.Let's take the simplest fix and change only the one broken line in thesame way as newer kernels.Suggested-by: Bernd Edlinger <bernd.edlinger@hotmail.de>Link: https://gcc.gnu.org/bugzilla/show_bug.cgi?id=85745Link: https://gcc.gnu.org/bugzilla/show_bug.cgi?id=86673Signed-off-by: Arnd Bergmann <arnd@arndb.de>Signed-off-by: Greg Kroah-Hartman <gregkh@linuxfoundation.org>		
gcc	rejects-valid	refactoring	 https://github.com/tc3t/dfglib/commit/91751e82471d8654fc15704c0753c952d042192e	[buildfix] cont::TrivialPair: adjustment to fix building on older GCC.-Probably affects GCC's before version 7 (https://gcc.gnu.org/bugzilla/show_bug.cgi?id=56480)		
gcc	rejects-valid	refactoring	 https://github.com/Silverlan/prosper/commit/0b861f515b41384be14132e70cd0701e70eead70	Add workaround for gcc compiler bug - https://gcc.gnu.org/bugzilla/show_bug.cgi?id=88165		
gcc	rejects-valid	refactoring	 https://github.com/inet-framework/inet/commit/96b05e617a8e3506fc5a7460a14dd04d377b3c2f	Chunk: Fixed GCC compilation error: explicit specialization in non-namespace scope.This is a GCC bug, see here: https://gcc.gnu.org/bugzilla/show_bug.cgi?id=85282		
gcc	rejects-valid	refactoring	 https://github.com/rohankumardubey/scyllaDB/commit/25f8e9c078d6915f9e8c2d47845100c58c83d9aa	cql3: statement_restrictions: adjust call to std::vector deduction guidegcc 11 has a hard time parsing a deduction guide use withbraced initializer. The bug [1] was already fixed in gcc 12,and I've requested a backport, but reduce friction meanwhileby switching to a form that works in gcc 11.[1] https://gcc.gnu.org/bugzilla/show_bug.cgi?id=89062		
gcc	rejects-valid	refactoring	 https://github.com/swidi/CFI-based-attestation/commit/0e3d7e61867d69721b28e557272bdf4b66010327	Fix gcc build after de3a485d9 due to a gcc bug: https://gcc.gnu.org/bugzilla/show_bug.cgi?id=92598This should fix gcc based builders such as http://lab.llvm.org:8011/#/builders/76/builds/1683		
gcc	rejects-valid	switching libraries	 https://github.com/pablode/gatling/commit/d9f61a67bd9aae7134ee5c79a8db96fe6fdb2b32	hdGatling: fix gcc 11 compilation error.Due to this bug: https://gcc.gnu.org/bugzilla/show_bug.cgi?id=79700		
gcc	rejects-valid	refactoring	 https://github.com/bniehoff/lennard-jonesium/commit/1320aa6aad5b09d73887de1f6bdebc525e0c0e79	Move Parameters structs back inside PhasesIt really makes more sense to have the Parameters structs inside theSimulationPhase class definitions as nested classes.  To get around theGCC bug described in (https://gcc.gnu.org/bugzilla/show_bug.cgi?id=88165),we simply declare a second constructor overload which is defined in thecpp file.  At this point in the translation unit, the outer class isfully defined, so the bug does not occur and we can call the nestedclass's default constructor without problem.		
gcc	rejects-valid	others	 https://github.com/gentoo/gentoo/commit/7af3ec75563c6744dba7db4bd94da818844c6039	sys-apps/fakeroot: add flag-o-matic filter for flag -fno-semantic-interpositionBug: https://bugs.gentoo.org/834445Bug: https://gcc.gnu.org/bugzilla/show_bug.cgi?id=101270Signed-off-by: Randall Vasquez <ran.dall@icloud.com>Closes: https://github.com/gentoo/gentoo/pull/25007Signed-off-by: Sam James <sam@gentoo.org>		
gcc	rejects-valid	refactoring	 https://github.com/OPM/opm-simulators/commit/924bf5ed1971b3fd5e58f640c997e03fd4633b7f	Use old style traits class approach to check for face tag support.Old version failed due to a gcc compilerbug https://gcc.gnu.org/bugzilla/show_bug.cgi?id=77446 with error:"non-constant condition for static assertion"		
gcc	rejects-valid	refactoring	 https://github.com/jgrant27/ryzen-fedora-kernel/commit/64d63e754c89bae4f6c1de25f7e4a5f81989a0df	Work around for gcc bug https://gcc.gnu.org/bugzilla/show_bug.cgi?id=96377Signed-off-by: Justin M. Forbes <jforbes@fedoraproject.org>		
gcc	rejects-valid	refactoring	 https://github.com/quick-lint/quick-lint-js/commit/0f7b21707e18d0326098cdc1302b4980dbf96ea2	Work around GCC 12 (beta) bugBuilding with GCC 12 (beta) is failing. It seems that GCC doesn't likeuninitialized member variables in constexpr objects, leading to builderrors [1]. Work around this GCC bug by initializing the offendingmembers.[1] https://gcc.gnu.org/bugzilla/show_bug.cgi?id=105191		
gcc	rejects-valid	refactoring	 https://github.com/facebook/fbthrift/commit/1a758c721fbf88b1ced6e3736043b8e447012122	work around gcc bug on extern+auto declsSummary:Gcc seems have an old bug of reporting conflict decls when extern and auto are involved. https://gcc.gnu.org/bugzilla/show_bug.cgi?id=78217Changing "auto" with explicit type to work around this bugReviewed By: prakashgayasenDifferential Revision: D34347715fbshipit-source-id: b7757d0279c3b6b98cfac663f28bf8849933f3b9		
gcc	wrong-code	disabling components	 https://github.com/glscopeclient/scopehal/commit/8672f04120dec3e735ec1e411a187d225347a7f2	#295: turn off AVX2/512 on Windows/GCC until https://gcc.gnu.org/bugzilla/show_bug.cgi?id=54412 is resolved		
gcc	wrong-code	refactoring	 https://github.com/NixOS/nix/commit/fc2d31c423377cea2355e7f7a4ce75e64a7f3620	Add `(StoreConfig*)` casts to work around a GCC bugWork around https://gcc.gnu.org/bugzilla/show_bug.cgi?id=80431 that wasalready there in the code but was accidentally removed in the lastcommits		
gcc	wrong-code	switching libraries	 https://github.com/CraftRom/Chidori-Kernel_surya/commit/2f18d095474ef519612cd2e7a9917bd596e207f3	BACKPORT: lib: Prepare zstd for preboot environment, improve performanceThese changes are necessary to get the build to work in the prebootenvironment, and to get reasonable performance:- Remove a double definition of the CHECK_F macro when the zstd  library is amalgamated.- Switch ZSTD_copy8() to __builtin_memcpy(), because in the preboot  environment on x86 gcc can't inline `memcpy()` otherwise.- Limit the gcc hack in ZSTD_wildcopy() to the broken gcc version. See  https://gcc.gnu.org/bugzilla/show_bug.cgi?id=81388.ZSTD_copy8() and ZSTD_wildcopy() are in the core of the zstd hot loop.So outlining these calls to memcpy(), and having an extra branch are verydetrimental to performance.Signed-off-by: Nick Terrell <terrelln@fb.com>Signed-off-by: Ingo Molnar <mingo@kernel.org>Tested-by: Sedat Dilek <sedat.dilek@gmail.com>Reviewed-by: Kees Cook <keescook@chromium.org>Link: https://lore.kernel.org/r/20200730190841.2071656-2-nickrterrell@gmail.com[cyberknight777: backport to 4.14]Signed-off-by: Cyber Knight <cyberknight755@gmail.com>Signed-off-by: Salllz <sal235222727@gmail.com>		
gcc	wrong-code	restricting compiler versions	 https://github.com/urcu/userspace-rcu/commit/39c2747c011f2d7563c8fa63e26cd92ca552d15b	Blacklist GCC 4.4.0, 4.4.1 and 4.4.2 on ARMGCC added __sync_synchronize() in 4.4.0 but it was broken on ARM until4.4.3, see the GCC bug report for more details :  https://gcc.gnu.org/bugzilla/show_bug.cgi?id=42263Signed-off-by: Michael Jeanson <mjeanson@efficios.com>Signed-off-by: Mathieu Desnoyers <mathieu.desnoyers@efficios.com>Change-Id: I629e3c8b4baaccb34b2311e220f30d0ad8b69a19		
gcc	wrong-code	suppressing warning messages	 https://github.com/scylladb/scylla/commit/193d1942f22f399742b3fb15193b48e0ca3af2a5	build: silence gcc ABI interoperability warning on armA gcc bug [1] caused objects built by different versions of gccnot to interoperate. Gcc helpfully warns when it encounters code thatcould be affected.Since we build everything with one version, and as that versions is farnewer than the last version generating incorrect code, we can silencethat warning without issue.[1] https://gcc.gnu.org/bugzilla/show_bug.cgi?id=77728Closes #7495		
gcc	wrong-code	refactoring	 https://github.com/optimad/bitpit/commit/dd53eab45f21e8df4460aa7abb0fbf49d97c0780	containers: move assignment operator and move constructor of ProxyVector should be implemented explicitlyWe need to explicitly implement move assigment operator and modeconstructor to workaround a bug in gcc, see:    https://gcc.gnu.org/bugzilla/show_bug.cgi?id=60796    https://gcc.gnu.org/bugzilla/show_bug.cgi?id=57728		
gcc	wrong-code	disabling components	 https://github.com/xaya/xaya/commit/d6fae988eff78e28756d9b6219ec0239c420f51b	guix: fix vmov alignment issues with gcc 10.3.0 & mingw-w64This introduces a patch to our GCC (10.3.0) mingw-w64 compiler, in Guix, to makeit avoid using aligned vmov instructions. This works around a longstanding issuein GCC, https://gcc.gnu.org/bugzilla/show_bug.cgi?id=54412, which was recentlydiscovered to be causing issues, see #24726.Note that distros like Debian are also patching around this issue, and that iswhere this patch comes from. This would also explain why we haven't run into thisproblem earlier, in development builds. See:https://salsa.debian.org/mingw-w64-team/gcc-mingw-w64/-/blob/master/debian/patches/vmov-alignment.patch.Fixes #24726.Alternative to #24727.See also:https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=939559		
gcc	wrong-code	refactoring	 https://github.com/gopro/gopro-lib-node.gl/commit/9fa4e790a268b88cb7fcefbba669df079575721a	internal: workaround a critical gcc 10 issueWorkarounds a critical issue妤?that has not been fixed within the last 6months.[1]: https://gcc.gnu.org/bugzilla/show_bug.cgi?id=95189[1]: http://r6.ca/blog/20200929T023701Z.html		
gcc	wrong-code	disabling optimizations	 https://github.com/ArtifexSoftware/mujs/commit/90a63426ee93d9079a032740e519988e26d1949c	Issue #152: Work around GCC compiler bug introduced in 2015.See https://gcc.gnu.org/bugzilla/show_bug.cgi?id=103052 for details.		
